,fi
angle,0.05556248003954778
distance,0.05512670730282632
interveningOpponents,0.04014291302186043
playType_پنالتی,0.01615502403993682
interveningTeammates,0.008463096751795577
minute,0.005210977654337701
interferenceOnShooter_کم,0.004933229243653081
second,0.0036517649081706013
playType_جریان بازی,0.003633577537463184
interferenceOnShooter_زیاد,0.003200140274199924
interferenceOnShooter_متوسط,0.0009421838435636487
playType_ضربه آزاد مستقیم,0.0004529053116722817
bodyPart_سایر,0.0003428850467986546
playType_مستقیم از کرنر,0.00019145943713352095
bodyPart_پا,7.664973409496345e-06
bodyPart_سر,2.6179136825149607e-06
